subj_orgid,session_id,block_num,probe_number,apen_win0,bv_std_win0,apen_win1,bv_std_win1,apen_win2,bv_std_win2,apen_win3,bv_std_win3,apen_win4,bv_std_win4,apen_win5,bv_std_win5,apen_win6,bv_std_win6,apen_win7,bv_std_win7,apen_win8,bv_std_win8,subject_id,fixation_w0,saccade_w0,blink_w0,fixation_w1,saccade_w1,blink_w1,fixation_w2,saccade_w2,blink_w2,fixation_w3,saccade_w3,blink_w3,fixation_w4,saccade_w4,blink_w4,fixation_w5,saccade_w5,blink_w5,fixation_w6,saccade_w6,blink_w6,fixation_w7,saccade_w7,blink_w7,fixation_w8,saccade_w8,blink_w8,on_off
CLONESA_G1_sub_21,ses_1,1.0,1,0.5016434909001612,0.0765020161108812,0.543550475076239,0.0817810370063142,0.3943560495438198,0.0633479971671527,0.5655393646262232,0.0835782215864424,0.4624750735358525,0.0838351938570662,0.4386025821214545,0.0936940910641611,0.5326818731652865,0.0914732908594631,0.3958492806938114,0.0494047062645264,0.3311852769901264,0.0373776463317881,sub_01_ses_1_2_cleaned_data_raw.fif,345,339,65,333,339,57,342,348,59,349,351,66,368,358,66,396,395,58,410,413,56,433,432,61,445,445,61,ON
CLONESA_G1_sub_21,ses_1,1.0,2,0.2001040992765865,0.0437570388553678,0.2169302472274981,0.0346557593107923,0.0285131531036948,0.0381978151637811,0.1095619471508864,0.0515738355031819,0.1567433403992919,0.0595632741959012,0.4186361923680444,0.0910100183134003,0.3693326770258152,0.0933303618152234,0.4657959020274698,0.0570594372309206,0.2817377470655371,0.0433924598741507,sub_01_ses_1_2_cleaned_data_raw.fif,339,335,64,322,316,56,309,315,61,339,342,67,352,352,57,351,355,69,367,361,73,331,340,72,333,338,78,ON
CLONESA_G1_sub_21,ses_1,1.0,3,0.3798997178959848,0.057929905271523,0.3080315408332907,0.0515248708116796,0.2425906901862577,0.057539673913264,0.4520045134637942,0.0553439650076844,0.5926739530966572,0.0572509654687635,0.547415511693885,0.048316789078741,0.4014933817036556,0.035406053960293,0.4127411194005748,0.0405853020079614,0.4890530948367915,0.0365827288767612,sub_01_ses_1_2_cleaned_data_raw.fif,375,373,76,376,376,74,355,355,81,380,377,88,378,382,80,368,370,80,370,370,88,370,363,86,371,363,70,ON
CLONESA_G1_sub_21,ses_1,1.0,4,0.2525024866048335,0.0654080340921029,0.5228392279099641,0.0532407777129092,0.1619964142622647,0.0380369263733085,0.3379733275946064,0.0368942050450901,0.2556805436128093,0.0499694496591522,0.542479134778378,0.052607107651423,0.5650172015194956,0.0708634987534838,0.4157594625095315,0.0698801093666682,0.461266786922994,0.0384025232937839,sub_01_ses_1_2_cleaned_data_raw.fif,369,368,73,358,358,89,368,364,98,366,370,79,362,372,84,379,370,79,383,377,66,379,387,76,365,363,81,OFF
CLONESA_G1_sub_21,ses_1,1.0,5,0.4453866398115575,0.0648684475230211,0.2778440558615931,0.0475048691154598,0.3301865389569571,0.0363522349616168,0.1496802003564536,0.0444896916166593,0.2153381032449361,0.0477384059330873,0.1243468455684988,0.0512909620408391,0.3014274115625488,0.0495718413253649,0.1645967027811568,0.0509274022007109,0.1440376831970193,0.0521992663121278,sub_01_ses_1_2_cleaned_data_raw.fif,381,384,86,403,398,70,424,427,65,418,415,72,384,384,69,389,395,79,388,388,78,362,365,81,384,384,96,ON
CLONESA_G1_sub_21,ses_1,1.0,6,0.4067618827013901,0.078822548717185,0.4081842533117938,0.069467966428578,0.4931470964437214,0.1030281224046955,0.4726369931130794,0.1195546894233163,0.446657842054424,0.0920101828243455,0.4417722934019861,0.0603408267009441,0.2655954040323038,0.0740227004783898,0.3975999576925866,0.0779684411722641,0.3026400997196372,0.0654851512368937,sub_01_ses_1_2_cleaned_data_raw.fif,336,338,73,328,324,66,338,341,82,360,366,83,356,357,75,339,335,84,377,371,79,405,406,76,396,398,88,ON
CLONESA_G1_sub_21,ses_1,1.0,7,0.5478169096274006,0.053471092455159,0.4075952818854484,0.0599800848103336,0.3569926944580524,0.0752292660610621,0.3537853089807417,0.0549963221538794,0.306873623408981,0.0731617322519194,0.3492549352515923,0.0919941249334038,0.6246779321615512,0.0600231226747833,0.2852054955901177,0.0630822734478576,0.1707972041890626,0.0698294283000563,sub_01_ses_1_2_cleaned_data_raw.fif,403,413,92,395,391,98,372,372,96,351,353,93,364,358,81,384,380,69,405,411,71,394,398,77,370,367,82,ON
CLONESA_G1_sub_21,ses_1,1.0,8,0.1335354531885348,0.0452519148005313,0.3014301391136724,0.0685948623879415,0.3587099584551865,0.0880463369968325,0.1947893837840948,0.0710697680688795,0.4279884584706486,0.0657393746593688,0.2704826161330693,0.0597037173040396,0.0180109230952107,0.053190105556337,0.3776251196647768,0.0484326564513945,0.4213870567510307,0.0577634090228931,sub_01_ses_1_2_cleaned_data_raw.fif,441,447,82,440,435,78,424,425,86,402,408,85,398,393,84,408,410,85,402,406,81,386,386,82,373,371,82,ON
CLONESA_G1_sub_21,ses_1,1.0,9,0.4686776314209679,0.0539040637078216,0.5070442493599456,0.047383453339743,0.5163746460045116,0.0547183051850711,0.3763111483200849,0.0546862824527515,0.3603288109616529,0.0707300811740006,0.2156532369075567,0.0754931778944215,0.2223184540530267,0.0617740263437356,0.3942002822506389,0.0518308411954695,0.5247452534628918,0.0393109249120508,sub_01_ses_1_2_cleaned_data_raw.fif,364,364,98,409,407,95,420,430,98,391,392,97,393,390,100,402,402,100,411,414,96,393,389,83,360,360,81,ON
CLONESA_G1_sub_21,ses_1,1.0,10,0.5295110855798746,0.0805706816021567,0.1239340794348344,0.0930274395187172,0.3956052491930135,0.0593162310715034,0.3223644299484718,0.0994512287460328,0.2928627560678003,0.1043745314687781,0.6533567875180366,0.0556165943376567,0.4612667869229931,0.0593774491837441,0.2016645990174086,0.0547894686718816,0.3089618516230201,0.0581373489930977,sub_01_ses_1_2_cleaned_data_raw.fif,434,423,100,412,412,111,398,399,99,384,375,71,355,364,78,349,357,87,365,362,84,355,355,79,358,350,69,ON
