annotation_idx,onset_time,duration,description,subject_id,subj_orgID,session_id,block_id,filename
25,45.856121,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
48,50.416,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
110,60.049999,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
131,63.034,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
166,105.866806,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
190,110.472,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
234,116.206001,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
252,118.754997,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
443,196.464996,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
460,199.195999,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
507,260.024353,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
536,265.035004,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
551,267.036011,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
564,268.518005,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
663,344.364899,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
688,349.127014,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
714,354.243011,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
723,355.51001,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
862,436.596405,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
877,438.46701,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
910,442.518005,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
925,444.518005,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1053,522.621399,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1078,525.807983,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1111,529.90802,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1126,531.692017,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1218,575.969849,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1233,578.112976,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1252,580.379028,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1265,581.97998,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1416,666.050415,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1425,667.437988,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1446,670.156006,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1459,672.35498,0.0,PROBES,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
1600,739.168396,0.0,PROBES_ONSET,sub_04_ses_1_2_cleaned_data_raw.fif,CLONESA_G1_sub_24,ses_1,1,sub_04_ses_1_2_cleaned_data_raw.fif
